"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3439001","2019","AR","Arkansas","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.2","","","93.2","95.2","4807","Overall","Overall","_RFDRHV7","6","6","","","","","",""
"3439027","2019","AR","Arkansas","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","5.8","","","4.8","6.8","221","Overall","Overall","_RFDRHV7","6","6","","","","","",""
"3443284","2019","CA","California","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.8","","","93.2","94.4","10057","Overall","Overall","_RFDRHV7","7","7","","","","","",""
"3443310","2019","CA","California","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.2","","","5.6","6.8","652","Overall","Overall","_RFDRHV7","7","7","","","","","",""
"3447567","2019","CO","Colorado","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.5","","","92.8","94.1","8016","Overall","Overall","_RFDRHV7","8","8","","","","","",""
"3447593","2019","CO","Colorado","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.5","","","5.9","7.2","521","Overall","Overall","_RFDRHV7","8","8","","","","","",""
"3451850","2019","CT","Connecticut","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.8","","","93.1","94.6","7979","Overall","Overall","_RFDRHV7","9","9","","","","","",""
"3451876","2019","CT","Connecticut","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.2","","","5.4","6.9","511","Overall","Overall","_RFDRHV7","9","9","","","","","",""
"3456133","2019","DE","Delaware","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","92.7","","","91.4","94.1","3384","Overall","Overall","_RFDRHV7","10","10","","","","","",""
"3456159","2019","DE","Delaware","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","7.3","","","5.9","8.6","221","Overall","Overall","_RFDRHV7","10","10","","","","","",""
"3460416","2019","DC","District of Columbia","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","91.6","","","90.1","93.1","2167","Overall","Overall","_RFDRHV7","11","11","","","","","",""
"3460442","2019","DC","District of Columbia","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","8.4","","","6.9","9.9","173","Overall","Overall","_RFDRHV7","11","11","","","","","",""
"3464699","2019","FL","Florida","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","92.4","","","91.6","93.2","14309","Overall","Overall","_RFDRHV7","12","12","","","","","",""
"3464725","2019","FL","Florida","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","7.6","","","6.8","8.4","1072","Overall","Overall","_RFDRHV7","12","12","","","","","",""
"3468982","2019","GA","Georgia","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.2","","","93.4","95.1","6349","Overall","Overall","_RFDRHV7","13","13","","","","","",""
"3469008","2019","GA","Georgia","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","5.8","","","4.9","6.7","362","Overall","Overall","_RFDRHV7","13","13","","","","","",""
"3473265","2019","HI","Hawaii","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","91.7","","","90.9","92.5","6676","Overall","Overall","_RFDRHV7","14","14","","","","","",""
"3473291","2019","HI","Hawaii","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","8.3","","","7.5","9.1","635","Overall","Overall","_RFDRHV7","14","14","","","","","",""
"3477548","2019","ID","Idaho","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","92.7","","","91.5","93.9","4814","Overall","Overall","_RFDRHV7","15","15","","","","","",""
"3477574","2019","ID","Idaho","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","7.3","","","6.1","8.5","314","Overall","Overall","_RFDRHV7","15","15","","","","","",""
"3481831","2019","IL","Illinois","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","92.4","","","91.5","93.3","4910","Overall","Overall","_RFDRHV7","16","16","","","","","",""
"3481857","2019","IL","Illinois","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","7.6","","","6.7","8.5","360","Overall","Overall","_RFDRHV7","16","16","","","","","",""
"3486114","2019","IN","Indiana","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.6","","","93.9","95.2","7822","Overall","Overall","_RFDRHV7","17","17","","","","","",""
"3486140","2019","IN","Indiana","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","5.4","","","4.8","6.1","409","Overall","Overall","_RFDRHV7","17","17","","","","","",""
"3490397","2019","IA","Iowa","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.3","","","92.7","93.9","8732","Overall","Overall","_RFDRHV7","18","18","","","","","",""
"3490423","2019","IA","Iowa","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.7","","","6.1","7.3","559","Overall","Overall","_RFDRHV7","18","18","","","","","",""
"3494680","2019","KS","Kansas","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.8","","","93.2","94.4","9991","Overall","Overall","_RFDRHV7","19","19","","","","","",""
"3494706","2019","KS","Kansas","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.2","","","5.6","6.8","570","Overall","Overall","_RFDRHV7","19","19","","","","","",""
"3498963","2019","KY","Kentucky","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.5","","","92.5","94.5","7280","Overall","Overall","_RFDRHV7","20","20","","","","","",""
"3498989","2019","KY","Kentucky","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.5","","","5.5","7.5","355","Overall","Overall","_RFDRHV7","20","20","","","","","",""
"3503246","2019","LA","Louisiana","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","92.5","","","91.6","93.5","4004","Overall","Overall","_RFDRHV7","21","21","","","","","",""
"3503272","2019","LA","Louisiana","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","7.5","","","6.5","8.4","319","Overall","Overall","_RFDRHV7","21","21","","","","","",""
"3507529","2019","ME","Maine","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","91.1","","","90.2","92.1","9856","Overall","Overall","_RFDRHV7","22","22","","","","","",""
"3507555","2019","ME","Maine","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","8.9","","","7.9","9.8","822","Overall","Overall","_RFDRHV7","22","22","","","","","",""
"3511812","2019","MD","Maryland","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.8","","","94.3","95.3","15414","Overall","Overall","_RFDRHV7","23","23","","","","","",""
"3511838","2019","MD","Maryland","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","5.2","","","4.7","5.8","839","Overall","Overall","_RFDRHV7","23","23","","","","","",""
"3516095","2019","MA","Massachusetts","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","92.3","","","91.4","93.1","6661","Overall","Overall","_RFDRHV7","24","24","","","","","",""
"3516121","2019","MA","Massachusetts","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","7.8","","","6.9","8.6","523","Overall","Overall","_RFDRHV7","24","24","","","","","",""
"3520378","2019","MI","Michigan","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.8","","","93.1","94.4","9458","Overall","Overall","_RFDRHV7","25","25","","","","","",""
"3520404","2019","MI","Michigan","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.2","","","5.6","6.9","614","Overall","Overall","_RFDRHV7","25","25","","","","","",""
"3524661","2019","MN","Minnesota","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.1","","","92.6","93.6","13597","Overall","Overall","_RFDRHV7","26","26","","","","","",""
"3524687","2019","MN","Minnesota","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.9","","","6.4","7.4","1004","Overall","Overall","_RFDRHV7","26","26","","","","","",""
"3528944","2019","MS","Mississippi","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.0","","","92.9","95.1","4616","Overall","Overall","_RFDRHV7","27","27","","","","","",""
"3528970","2019","MS","Mississippi","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.0","","","4.9","7.1","196","Overall","Overall","_RFDRHV7","27","27","","","","","",""
"3533227","2019","MO","Missouri","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.5","","","92.6","94.4","6592","Overall","Overall","_RFDRHV7","28","28","","","","","",""
"3533253","2019","MO","Missouri","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.5","","","5.7","7.4","342","Overall","Overall","_RFDRHV7","28","28","","","","","",""
"3537510","2019","MT","Montana","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","90.7","","","89.7","91.6","5703","Overall","Overall","_RFDRHV7","29","29","","","","","",""
"3537536","2019","MT","Montana","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","9.4","","","8.4","10.3","504","Overall","Overall","_RFDRHV7","29","29","","","","","",""
"3541793","2019","NE","Nebraska","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.8","","","93.2","94.4","14222","Overall","Overall","_RFDRHV7","30","30","","","","","",""
"3541819","2019","NE","Nebraska","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.2","","","5.6","6.8","815","Overall","Overall","_RFDRHV7","30","30","","","","","",""
"3546076","2019","NV","Nevada","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.6","","","92.3","94.9","2473","Overall","Overall","_RFDRHV7","31","31","","","","","",""
"3546102","2019","NV","Nevada","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.4","","","5.1","7.7","178","Overall","Overall","_RFDRHV7","31","31","","","","","",""
"3550359","2019","NH","New Hampshire","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.0","","","92.1","94.0","5026","Overall","Overall","_RFDRHV7","32","32","","","","","",""
"3550385","2019","NH","New Hampshire","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","7.0","","","6.0","7.9","347","Overall","Overall","_RFDRHV7","32","32","","","","","",""
"3554642","2019","NM","New Mexico","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.0","","","93.1","94.9","5360","Overall","Overall","_RFDRHV7","34","34","","","","","",""
"3554668","2019","NM","New Mexico","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.0","","","5.1","6.9","304","Overall","Overall","_RFDRHV7","34","34","","","","","",""
"3558925","2019","NY","New York","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.1","","","93.5","94.7","11930","Overall","Overall","_RFDRHV7","35","35","","","","","",""
"3558951","2019","NY","New York","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","5.9","","","5.3","6.5","789","Overall","Overall","_RFDRHV7","35","35","","","","","",""
"3563208","2019","NC","North Carolina","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.4","","","93.6","95.2","3736","Overall","Overall","_RFDRHV7","36","36","","","","","",""
"3563234","2019","NC","North Carolina","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","5.6","","","4.8","6.4","231","Overall","Overall","_RFDRHV7","36","36","","","","","",""
"3567491","2019","ND","North Dakota","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","92.6","","","91.5","93.7","5042","Overall","Overall","_RFDRHV7","37","37","","","","","",""
"3567517","2019","ND","North Dakota","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","7.4","","","6.3","8.5","302","Overall","Overall","_RFDRHV7","37","37","","","","","",""
"3571774","2019","OH","Ohio","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.5","","","92.7","94.2","12050","Overall","Overall","_RFDRHV7","38","38","","","","","",""
"3571800","2019","OH","Ohio","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.5","","","5.8","7.3","655","Overall","Overall","_RFDRHV7","38","38","","","","","",""
"3576057","2019","OK","Oklahoma","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","95.7","","","95.0","96.4","5503","Overall","Overall","_RFDRHV7","39","39","","","","","",""
"3576083","2019","OK","Oklahoma","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","4.3","","","3.6","5.0","209","Overall","Overall","_RFDRHV7","39","39","","","","","",""
"3580340","2019","OR","Oregon","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","91.5","","","90.6","92.3","5160","Overall","Overall","_RFDRHV7","40","40","","","","","",""
"3580366","2019","OR","Oregon","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","8.5","","","7.7","9.4","481","Overall","Overall","_RFDRHV7","40","40","","","","","",""
"3584623","2019","PA","Pennsylvania","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.9","","","93.2","94.7","5938","Overall","Overall","_RFDRHV7","41","41","","","","","",""
"3584649","2019","PA","Pennsylvania","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","6.1","","","5.3","6.9","358","Overall","Overall","_RFDRHV7","41","41","","","","","",""
